Detailed performance of cross validation for SVC 
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,1724.5476667881012,12.582676600740363,415.89166657129925,3.3355972233967073,0.001,1,linear,"{'C': 0.001, 'gamma': 1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
1,1740.9056666692097,34.38054669987556,415.1520000298818,4.8218230296496,0.001,0.1,linear,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
2,1757.2393332322438,53.23308225586809,412.7960000038147,3.362455265562154,0.0031622776601683794,1,linear,"{'C': 0.0031622776601683794, 'gamma': 1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
3,1728.5120000044506,32.05989737779014,417.84366663297016,2.9496165842152133,0.0031622776601683794,0.1,linear,"{'C': 0.0031622776601683794, 'gamma': 0.1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
4,1746.6436665852864,44.51557930790648,413.5359999338786,2.6376399553700365,0.01,1,linear,"{'C': 0.01, 'gamma': 1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
5,1755.1586666901906,59.15234880339822,417.13133335113525,3.0326126102743194,0.01,0.1,linear,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
6,1695.5576668580372,10.622763859278491,416.71233320236206,1.059198585674396,0.03162277660168379,1,linear,"{'C': 0.03162277660168379, 'gamma': 1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
7,1705.2539998690288,3.2453820987480735,435.36166675885516,29.600619089708985,0.03162277660168379,0.1,linear,"{'C': 0.03162277660168379, 'gamma': 0.1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
8,1357.1559998194377,3.012598958667765,318.8670001029968,0.48390985515477103,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
9,1348.6989999612172,3.518141468786319,319.3510000705719,0.8203954032357518,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.04784688995215311,0.051574212893553226,0.04697380307136405,0.0488,0.0019944996657919848,1,1.0,1.0,1.0,1.0,0.0
