Detailed performance of cross validation for Logistic Regression 
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,799.0866666634878,181.19186732752695,0.1789999802907308,0.03527974104619883,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.041866028708133975,0.043478260869565216,0.03884372177055104,0.0414,0.0019191652775828489,7,1.0,1.0,1.0,1.0,0.0
1,1332.7573335170746,437.28913718633316,0.1896666685740153,0.06911018084582106,0.0014384498882876629,l2,"{'C': 0.0014384498882876629, 'penalty': 'l2'}",0.042165071770334926,0.043478260869565216,0.038241493526046375,0.0413,0.00222244512895303,18,1.0,1.0,1.0,1.0,0.0
2,523.3776667912801,236.1709852459283,0.12866663932800293,0.03445118819508469,0.00206913808111479,l2,"{'C': 0.00206913808111479, 'penalty': 'l2'}",0.042464114832535885,0.042578710644677664,0.039144835892803376,0.0414,0.001590908037215287,7,1.0,1.0,1.0,1.0,0.0
3,209.22599999109903,39.19342218921874,0.12099997202555339,0.02275958396623344,0.002976351441631319,l2,"{'C': 0.002976351441631319, 'penalty': 'l2'}",0.041866028708133975,0.042578710644677664,0.03944595001505571,0.0413,0.0013394171364918919,18,1.0,1.0,1.0,1.0,0.0
4,159.7793333530426,21.385096225329747,0.10633333524068196,0.005557855923734088,0.004281332398719396,l2,"{'C': 0.004281332398719396, 'penalty': 'l2'}",0.042165071770334926,0.0431784107946027,0.039144835892803376,0.0415,0.0017115764693536725,4,1.0,1.0,1.0,1.0,0.0
5,191.42133331298828,23.253823253212502,0.09599995613098145,0.010801297774245357,0.006158482110660267,l2,"{'C': 0.006158482110660267, 'penalty': 'l2'}",0.041866028708133975,0.0431784107946027,0.03944595001505571,0.0415,0.00154449427107523,4,1.0,1.0,1.0,1.0,0.0
6,715.3076666196188,794.2609383119366,0.11233321825663249,0.0038586278443819037,0.008858667904100823,l2,"{'C': 0.008858667904100823, 'penalty': 'l2'}",0.042464114832535885,0.04287856071964018,0.039144835892803376,0.0415,0.0016693458357416465,4,1.0,1.0,1.0,1.0,0.0
7,186.64933331807455,12.043998302472302,0.13199996948242188,0.03207261289116263,0.012742749857031334,l2,"{'C': 0.012742749857031334, 'penalty': 'l2'}",0.042165071770334926,0.04287856071964018,0.03974706413730804,0.0416,0.0013387221014994797,1,1.0,1.0,1.0,1.0,0.0
8,720.2603333791097,798.4463034230591,0.11333338419596355,0.031329797572313765,0.018329807108324356,l2,"{'C': 0.018329807108324356, 'penalty': 'l2'}",0.042165071770334926,0.04287856071964018,0.03974706413730804,0.0416,0.0013387221014994797,1,1.0,1.0,1.0,1.0,0.0
9,162.55299989382425,11.192993800205716,0.11666663487752278,0.025772449102627992,0.026366508987303583,l2,"{'C': 0.026366508987303583, 'penalty': 'l2'}",0.042165071770334926,0.04287856071964018,0.03974706413730804,0.0416,0.0013387221014994797,1,1.0,1.0,1.0,1.0,0.0
10,177.93933327992758,6.302250129042225,0.1446666717529297,0.06483487009878193,0.0379269019073225,l2,"{'C': 0.0379269019073225, 'penalty': 'l2'}",0.041866028708133975,0.042578710644677664,0.03944595001505571,0.0413,0.0013394171364918919,18,1.0,1.0,1.0,1.0,0.0
11,719.9893333117167,684.8274949702109,0.1620000203450521,0.01951058239266676,0.05455594781168517,l2,"{'C': 0.05455594781168517, 'penalty': 'l2'}",0.041866028708133975,0.04287856071964018,0.03944595001505571,0.0414,0.0014386679262289536,7,1.0,1.0,1.0,1.0,0.0
12,266.6853332519531,39.77123346374935,0.1786665916442871,0.045966166027387054,0.07847599703514611,l2,"{'C': 0.07847599703514611, 'penalty': 'l2'}",0.041866028708133975,0.0431784107946027,0.039144835892803376,0.0414,0.0016782085575393465,7,1.0,1.0,1.0,1.0,0.0
13,663.7843334674835,551.0208470288064,0.13166658083597818,0.04198681944959992,0.11288378916846883,l2,"{'C': 0.11288378916846883, 'penalty': 'l2'}",0.041866028708133975,0.0431784107946027,0.039144835892803376,0.0414,0.0016782085575393465,7,1.0,1.0,1.0,1.0,0.0
14,288.83099993069965,6.640153607630433,0.1763333479563395,0.053580731452857966,0.1623776739188721,l2,"{'C': 0.1623776739188721, 'penalty': 'l2'}",0.041866028708133975,0.0431784107946027,0.039144835892803376,0.0414,0.0016782085575393465,7,1.0,1.0,1.0,1.0,0.0
15,265.10533332824707,33.940130643558234,0.20800010363260904,0.006531985885084457,0.23357214690901212,l2,"{'C': 0.23357214690901212, 'penalty': 'l2'}",0.041866028708133975,0.0431784107946027,0.039144835892803376,0.0414,0.0016782085575393465,7,1.0,1.0,1.0,1.0,0.0
16,280.22533345222473,46.55125025053176,0.17333324750264487,0.04941211692381437,0.3359818286283781,l2,"{'C': 0.3359818286283781, 'penalty': 'l2'}",0.041866028708133975,0.0431784107946027,0.039144835892803376,0.0414,0.0016782085575393465,7,1.0,1.0,1.0,1.0,0.0
17,283.16066670417786,17.929771205279152,0.16499988238016763,0.027288601240641978,0.4832930238571752,l2,"{'C': 0.4832930238571752, 'penalty': 'l2'}",0.041866028708133975,0.0431784107946027,0.039144835892803376,0.0414,0.0016782085575393465,7,1.0,1.0,1.0,1.0,0.0
18,302.02766648928326,89.57913255082165,0.0993334452311198,0.009809264927467786,0.6951927961775606,l2,"{'C': 0.6951927961775606, 'penalty': 'l2'}",0.041866028708133975,0.0431784107946027,0.039144835892803376,0.0414,0.0016782085575393465,7,1.0,1.0,1.0,1.0,0.0
