Detailed performance of cross validation for SVC 
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,381.09399994214374,13.676626437231057,129.5896666844686,14.313983961495227,0.001,1,linear,"{'C': 0.001, 'gamma': 1, 'kernel': 'linear'}",0.3253588516746411,0.3394302848575712,0.333935561577838,0.3329,0.005796126901669144,9,0.3733473557692308,0.37284321080270066,0.3761042072166492,0.3740982579295269,0.001433274791912879
1,374.4480000336965,23.553263664942147,126.59966659545898,4.5810361574828775,0.001,0.1,linear,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'linear'}",0.3253588516746411,0.3394302848575712,0.333935561577838,0.3329,0.005796126901669144,9,0.3733473557692308,0.37284321080270066,0.3761042072166492,0.3740982579295269,0.001433274791912879
2,303.781999985377,10.067308935765626,123.95433322588603,4.405737273193338,0.0031622776601683794,1,linear,"{'C': 0.0031622776601683794, 'gamma': 1, 'kernel': 'linear'}",0.3812799043062201,0.3805097451274363,0.3869316470942487,0.3829,0.002860263506337635,3,0.49429086538461536,0.4900225056264066,0.4880970205120527,0.49080346384102486,0.0025882233772837916
3,310.0256667137146,9.42499905795391,130.8673332532247,17.924650740308202,0.0031622776601683794,0.1,linear,"{'C': 0.0031622776601683794, 'gamma': 0.1, 'kernel': 'linear'}",0.3812799043062201,0.3805097451274363,0.3869316470942487,0.3829,0.002860263506337635,3,0.49429086538461536,0.4900225056264066,0.4880970205120527,0.49080346384102486,0.0025882233772837916
4,276.45600001017254,15.0705974461388,117.01666680971782,2.611718315269148,0.01,1,linear,"{'C': 0.01, 'gamma': 1, 'kernel': 'linear'}",0.3908492822966507,0.38800599700149924,0.3902439024390244,0.3897,0.001223504909598978,1,0.6212439903846154,0.6204051012753188,0.6182063183111244,0.6199518033236862,0.001280877871157788
5,248.79900002479553,5.017277953255013,117.33199993769328,2.519239665621319,0.01,0.1,linear,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'linear'}",0.3908492822966507,0.38800599700149924,0.3902439024390244,0.3897,0.001223504909598978,1,0.6212439903846154,0.6204051012753188,0.6182063183111244,0.6199518033236862,0.001280877871157788
6,261.5846667289734,31.207521470549207,116.85866665840149,2.6610731431824153,0.03162277660168379,1,linear,"{'C': 0.03162277660168379, 'gamma': 1, 'kernel': 'linear'}",0.3672248803827751,0.36191904047976015,0.36645588678109003,0.3652,0.0023419902157114456,5,0.7823016826923077,0.7911477869467367,0.7866447072915107,0.7866980589768517,0.003611603976241328
7,247.60566663742065,7.903145232911942,129.5049999554952,14.233076908359548,0.03162277660168379,0.1,linear,"{'C': 0.03162277660168379, 'gamma': 0.1, 'kernel': 'linear'}",0.3672248803827751,0.36191904047976015,0.36645588678109003,0.3652,0.0023419902157114456,5,0.7823016826923077,0.7911477869467367,0.7866447072915107,0.7866980589768517,0.003611603976241328
8,212.1763334274292,4.7336954632321895,91.73266665140788,0.34209189495380404,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.3328349282296651,0.3361319340329835,0.33032219211081,0.3331,0.00237734970398351,7,0.9260817307692307,0.9245311327831958,0.9209462494385388,0.923853037663655,0.002150682351848689
9,196.83799997965494,3.9356313002354755,93.77500001589458,0.34224848115824313,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.3328349282296651,0.3361319340329835,0.33032219211081,0.3331,0.00237734970398351,7,0.9260817307692307,0.9245311327831958,0.9209462494385388,0.923853037663655,0.002150682351848689
